Protein.IDs,flybase_gene,Entry,e02,e06,e12,e20,L1,L2,L3,L3c,p1,p2,p3,p4,p5,Ayf,Aym,Af,Am
FBtr0074629,psh,Q9VWU1,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,71576249.9999997,36085236.9611702,56482736.9611701,30182752.8327492,37011710.8835119,25575383.279823,93638249.9999986,80106500.0000009,48910168.3116616,20358757.2429016
FBtr0074631,CG6891,B5RJ68,3858947.8446812,3858947.8446812,79641757.0898236,351642499.999995,64814499.9999987,48500413.1630227,113799750,1696700000.00001,819280000,684755768.126051,999662500.000009,1053167499.99999,289416251.864143,1174627499.99999,1089292500.00001,184063884.501976,457504999.999997
FBtr0074635,Atg101,Q9VWQ1,3858947.8446812,4595743.33843251,9856393.8927643,9733063.44567111,9286319.53396166,17233507.5335277,9400809.10141107,9782092.75667681,3858947.8446812,3858947.8446812,12619519.2638265,10171692.4785013,3858947.8446812,8350877.94596609,7466722.37244351,3858947.8446812,3858947.8446812
FBtr0074643,CG7288,Q9VWP1,232239999.999997,441395000.000005,449127500.000006,414994999.999998,239649999.999997,113614250,80352258.1340416,59917965.5315586,19044323.4223113,57436514.8039522,80823190.9854162,31842923.1038319,35334605.2593936,15308299.752557,31506504.9464662,12558669.090866,3858947.8446812
FBtr0333158;FBtr0074644,CG32544,Q8IQX3,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,7007584.7234711,18589979.3302113,3858947.8446812,9835594.73442317,12215767.6573503,21001468.9111305
FBtr0342877;FBtr0074647,CG7332,Q9VWN5,853924999.999996,1005590000.00001,717317500.000001,545175000.000005,219994999.999997,139209999.999999,99332899.4565256,188047500.000001,88673499.9999997,175144749.999999,189067500.000001,209817499.999999,121718750,276164999.999998,325627499.999999,317267500.000003,187424999.999999
FBtr0344973;FBtr0074648,CG7349,Q9VWN3,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,26273849.8485021,43601789.9125102,132169999.999999,3858947.8446812,171207500.000001,3858947.8446812,288967500.000002
FBtr0074652;FBtr0342879;FBtr0342880,CG7358,Q9VWN4,135469249.999997,162740000.000002,156350000.000003,174385000.000003,18185475.3183216,29988485.7339679,3858947.8446812,12568974.1061084,3858947.8446812,3858947.8446812,9387048.43969737,5750449.83100342,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0346018;FBtr0310441;FBtr0074654,CG7322,Q9VWP2,1534150000.00003,1156250000,1020062500.00001,1166907500.00001,2731749999.99998,3964024999.99997,3831999999.99999,7224775000.00001,8282624999.99983,7021025000.00008,7952574999.99998,7946774999.9999,6418949999.99988,2728674999.99997,2622175000.00003,3021800000,4891599999.99998
FBtr0074655,CG7280,Q9VWP4,240192500,203122499.999997,116950358.576053,149665499.999998,227460000,268647499.999996,225732500.000002,404349999.999999,397894999.999998,463087499.999994,385572499.999997,455905000.000002,503710000.000008,290672499.999994,221424999.999997,262362500.000001,278295000.000003
FBtr0074659;FBtr0074658;FBtr0074657;FBtr0074656,bnb,P29746,3657648.92234059,314719999.999994,1363700000,2292474999.99997,11502396.8211449,18077174.4695195,3858947.8446812,27197709.6835374,7944824999.99989,64517249999.9993,228364999999.994,136447250000.002,37321999999.9993,2968875000.00003,1978499999.99996,948879999.999999,1469025000.00001
FBtr0074661,CG18259,Q9VWQ6,3858947.8446812,3858947.8446812,7683507.5685829,6666488.39342657,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,5086092.30154035,20957106.4828859,4483751.45642389,8508430.80292088,7325095.31577688,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074664,CG7406,Q9VWM5,3858947.8446812,3858947.8446812,3858947.8446812,6063557.76968142,8741308.26731649,58835486.961171,17024960.8835111,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074666,CG7453,Q4QQA4,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,5616804.90939374,29108358.6548784,5081630.54549824,36296033.9807932,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812,3858947.8446812
FBtr0074669;FBtr0342978;FBtr0074668;FBtr0331155,Mec2;CG33253,Q9VWL0,3858947.8446812,3858947.8446812,3858947.8446812,8558387.34415619,161135000,270992499.999997,317994999.999999,111106249.999999,3858947.8446812,7539041.14052854,49846206.552594,68325379.6980352,3858947.8446812,3858947.8446812,9459545.819686,6355300.84261479,3858947.8446812
