Phylostratum (ps),Protein_ID,Locus_tag,UniProt,T_LC,T_6H,T_12H,T_1D,T_2D,T_3D,T_5D,T_7D,T_14D,T_1M,T_2M,P_LC,P_12H,P_1D,P_2D,P_7D
1,AQZ88948.1,B4U62_00235,O31414,5.02e-06,1.37e-05,5.27e-06,5.89e-06,6.52e-06,4.9e-06,6.26e-06,5.35e-06,2.98e-06,2.35e-06,8.12e-07,NA,NA,NA,NA,NA
1,AQZ88949.1,B4U62_00240,P37544,3.09e-05,4.19e-05,2.41e-05,2.44e-05,2.93e-05,2.09e-05,2.48e-05,2.38e-05,1.46e-05,1.47e-05,4.71e-06,5.27e-05,2.05e-05,4.58e-05,2.9e-06,7.62e-06
1,AQZ88951.1,B4U62_00250,P37465,9.36e-05,0.000185455,0.000127328,0.000107048,0.000103611,0.000103807,8.98e-05,7.87e-05,2.24e-05,2.83e-05,4.76e-06,0.000492419,0.000192896,9.8e-05,0.000221457,6.66e-05
1,AQZ88952.1,B4U62_00255,P37545,3.18e-05,3.38e-05,3.05e-05,2.89e-05,2.61e-05,2.03e-05,1.95e-05,1.55e-05,1.58e-05,8.97e-06,1.27e-06,4.2e-05,1.95e-05,1.24e-05,7.29e-05,1.44e-05
1,AQZ88953.1,B4U62_00260,A0A164VJA0,8.34e-05,0.000599426,0.000242614,0.000302897,0.000505857,0.000887638,0.000834102,0.000624209,0.000174405,0.000156836,3.15e-05,9.87e-06,3.52e-05,2.12e-05,5.39e-06,1.52e-05
1,AQZ88955.1,B4U62_00270,P37468,7.41e-05,0.000107072,3.85e-05,5.15e-05,5.2e-05,6.1e-05,8.12e-05,5.97e-05,4.79e-05,3.52e-05,5.96e-06,7.03e-05,9.34e-06,5.24e-06,1.18e-05,0
1,AQZ88959.1,B4U62_00290,P37550,7.86e-05,0.00013015,7.23e-05,6.42e-05,8.16e-05,8.78e-05,0.000102151,0.000108377,0.000143411,3.23e-05,4.9e-06,0.000154718,6.63e-06,1.15e-05,3.01e-06,5.18e-06
1,AQZ88960.1,B4U62_00295,P37551,0.000204672,0.00034106,0.000175593,0.000208935,0.0002137,0.000232761,0.000258616,0.000272637,0.000191627,7.13e-05,1.42e-05,7.9e-05,4.04e-05,0.000138221,6.53e-05,8.63e-06
1,AQZ88961.1,B4U62_00300,P37552,0.000317693,0.000504728,0.000316289,0.000368946,0.000467319,0.000607031,0.00058881,0.000681881,0.000560478,0.000147585,3.06e-05,0.000105785,0.000154549,0.000183533,0.000458313,0.00025704
1,AQZ88962.1,B4U62_00305,A0A0D5D0V4,0.010004187,0.006366064,0.010022241,0.010533117,0.010891032,0.006429107,0.003339674,0.006169828,0.001926667,0.002180586,0.000340629,0.000199348,0.004246886,0.003689877,0.001156716,0.000272744
